ORG_KSSS|year|month|day|time_segment|unique_cheques
1066|2025|11|3|08_20|705.0
1066|2025|11|3|other|262.0
1066|2025|11|4|08_20|816.0
1066|2025|11|4|other|254.0
1066|2025|11|5|08_20|851.0
1066|2025|11|5|other|331.0
1066|2025|11|6|08_20|898.0
1066|2025|11|6|other|307.0
1066|2025|11|7|08_20|913.0
1066|2025|11|7|other|325.0
1066|2025|11|8|08_20|723.0
1066|2025|11|8|other|244.0
1066|2025|11|9|08_20|660.0
1066|2025|11|9|other|241.0
1066|2025|11|10|08_20|876.0
1066|2025|11|10|other|261.0
1066|2025|11|11|08_20|865.0
1066|2025|11|11|other|361.0
1066|2025|11|12|08_20|917.0
1066|2025|11|12|other|323.0
1066|2025|11|13|08_20|824.0
1066|2025|11|13|other|325.0
1066|2025|11|14|08_20|890.0
1066|2025|11|14|other|365.0
1066|2025|11|15|08_20|741.0
1066|2025|11|15|other|285.0
1066|2025|11|16|08_20|674.0
1066|2025|11|16|other|224.0
1066|2025|11|17|08_20|855.0
1066|2025|11|17|other|357.0
1066|2025|11|18|08_20|853.0
1066|2025|11|18|other|329.0
1066|2025|11|19|08_20|869.0
1066|2025|11|19|other|320.0
1066|2025|11|20|08_20|864.0
1066|2025|11|20|other|320.0
1066|2025|11|21|08_20|934.0
1066|2025|11|21|other|351.0
1066|2025|11|22|08_20|763.0
1066|2025|11|22|other|273.0
1066|2025|11|23|08_20|665.0
1066|2025|11|23|other|207.0
1066|2025|11|24|08_20|866.0
1066|2025|11|24|other|340.0
1066|2025|11|25|08_20|900.0
1066|2025|11|25|other|329.0
1066|2025|11|26|08_20|880.0
1066|2025|11|26|other|340.0
1066|2025|11|27|08_20|954.0
1066|2025|11|27|other|325.0
1066|2025|11|28|08_20|974.0
1066|2025|11|28|other|390.0
1066|2025|11|29|08_20|796.0
1066|2025|11|29|other|243.0
1066|2025|11|30|08_20|755.0
1066|2025|11|30|other|226.0
1067|2025|11|1|08_20|309.0
1067|2025|11|1|other|49.0
1067|2025|11|2|08_20|201.0
1067|2025|11|2|other|34.0
1067|2025|11|3|08_20|207.0
1067|2025|11|3|other|34.0
1067|2025|11|4|08_20|177.0
1067|2025|11|4|other|51.0
1067|2025|11|5|08_20|249.0
1067|2025|11|5|other|73.0
1067|2025|11|6|08_20|203.0
1067|2025|11|6|other|50.0
1067|2025|11|7|08_20|242.0
1067|2025|11|7|other|49.0
1067|2025|11|8|08_20|226.0
1067|2025|11|8|other|47.0
1067|2025|11|9|08_20|163.0
1067|2025|11|9|other|34.0
