КССС|MAPE, %
134135|12.509
134140|221.664
134141|10.196
134142|19.897
134143|12.752
134144|133.662
134145|9.413
134146|12.422
134147|11.89
134148|17.32
134150|16.661
134151|9.884
134152|24.79
134153|10.68
134154|299.359
134155|41.627
134156|14.28
134157|11.719
134159|31.234
134160|73.984
134162|10.323
134163|11.759
134164|11.723
134167|13.151
134169|14.447
134170|11.973
134171|30.176
134173|17.219
134174|16.26
134176|12.704
134177|15.57
134178|11.497
134179|10.944
134180|12.619
134183|12.985
134184|11.041
134185|24.369
134188|11.412
134189|11.723
134190|20.909
134192|10.067
134194|15.744
134197|15.6
134199|23.547
134201|14.26
135002|13.269
135003|24.239
135006|389.898
135007|23.3
135008|21.066
135009|10.728
135010|22.673
135011|114.513
135012|147.424
135015|9.965
135016|12.053
135017|16.319
135018|33.795
135020|13.271
135022|15.607
135023|12.739
135024|43.881
135025|12.182
135026|17.474
135027|12.011
135028|17.185
135029|16.446
135030|15.253
135031|15.295
135032|19.1
135033|9.931
135034|26.099
135036|18.383
135037|9.948
135038|13.309
135039|17.36
135040|13.02
135041|42.479
135042|88.044
135043|10.223
135046|19.694
135047|11.989
135049|35.092
135051|14.808
135053|14.455
135054|14.654
135055|10.691
135056|36.383
135057|7.524
135058|9.705
135059|10.115
135068|13.036
135069|9.869
135070|13.804
135072|10.219
135075|38.984
135076|9.37
135801|67.278
135802|175.144
136602|14.953
136603|15.128
136801|11.617
136802|16.914
136803|10.241
136805|10.143
136806|19.593
136807|11.27
136808|39.685
136809|20.445
136810|14.946
136811|16.351
136812|9.32
136813|13.541
136814|14.585
136815|15.297
136853|13.329
136872|17.995
136875|14.532
136876|14.862
136877|18.509
136878|30.643
136879|24.441
136880|12.066
136897|13.29
136901|16.118
136902|12.751
136904|11.072
136905|18.22
136906|14.341
136907|15.34
136908|21.514
136909|16.014
136910|13.715
136911|9.591
136912|10.322
136915|10.141
136916|16.433
136917|18.646
136920|11.529
136921|19.073
136922|17.803
136926|11.508
136927|21.6
136930|13.776
136931|13.326
136936|13.713
136937|14.351
136938|12.049
136939|10.446
136940|12.062
136941|13.669
137001|13.537
137002|11.023
138001|15.442
139201|21.087
139202|16.256
139407|8.512
139801|9.845
141801|10.607
143001|21.026
143602|16.193
145001|9.67
150210|14.493
150402|23.195
150601|40.178
152001|10.373
153001|11.485
153002|9.01
153810|18.342
153812|12.917
154401|12.838
155001|9.932
155002|12.77
155003|9.101
155004|15.825
155007|10.224
155008|21.443
155009|46.151
155010|9.249
155011|17.018
155012|12.187
155013|9.812
155014|11.689
155015|10.59
155016|15.337
155017|14.489
155018|14.583
155019|16.565
155020|10.771
155021|9.312
155022|12.825
155023|9.427
155024|18.87
155025|8.579
155026|18.135
155027|11.752
155028|13.377
155030|11.881
155031|13.795
155032|12.657
155033|11.588
155034|11.034
155036|9.918
155037|12.698
155039|14.347
155041|23.232
155042|12.468
155044|10.651
155046|20.874
155047|11.785
155048|9.922
155049|9.671
155050|17.634
155051|12.53
155052|17.704
155053|17.019
155054|11.391
155055|11.313
155056|12.286
155058|12.576
155059|18.123
155060|13.187
155061|23.368
155065|577.354
155066|17.655
155070|12.252
155073|19.467
155074|17.108
155075|10.401
155076|17.854
155077|13.653
155078|13.497
155079|13.376
155080|15.932
155081|14.623
155082|14.97
155083|10.319
