KSSS,MAPE_ML,ML_model,MAPE_weights,MAPE_cur,Способ прогноза,Детали прогноза
3388,5.684,SARIMAX,8.75,8.377,МЛ,SARIMAX
3389,4.909,SARIMAX,14.25,37.744,МЛ,SARIMAX
3393,5.372,SARIMAX,12.6,14.175,МЛ,SARIMAX
3394,5.095,TTM,12.21,12.575,МЛ,TTM
3395,10.411,SARIMAX,100.17,16.836,МЛ,SARIMAX
3396,34.147,SARIMAX,14.92,20.566,веса,"(0.61, 0.00, 0.39)"
3397,8.061,SARIMAX,14.58,14.039,МЛ,SARIMAX
3399,6.162,SARIMAX,9.02,12.889,МЛ,SARIMAX
3400,7.745,NBEATS,10.88,12.714,МЛ,NBEATS
3401,5.533,SARIMAX,12.39,12.098,МЛ,SARIMAX
3408,5.997,SARIMAX,214.1,32.36,МЛ,SARIMAX
3410,5.629,TTM,10.46,10.578,МЛ,TTM
3411,6.124,SARIMAX,11.82,10.947,МЛ,SARIMAX
3412,9.514,SARIMAX,14.49,13.811,МЛ,SARIMAX
3415,5.623,SARIMAX,16.53,15.908,МЛ,SARIMAX
3424,5.51,RandomForest,12.29,13.453,МЛ,RandomForest
3425,6.72,SARIMAX,12.88,15.465,МЛ,SARIMAX
3430,7.448,SARIMAX,18.22,22.735,МЛ,SARIMAX
3431,10.963,TTM,19.44,22.662,МЛ,TTM
3438,6.116,SARIMAX,8.33,9.821,МЛ,SARIMAX
3441,93.419,SARIMAX,24.31,35.26,веса,"(0.66, 0.00, 0.34)"
3442,7.948,SARIMAX,29.85,38.173,МЛ,SARIMAX
3443,6.677,SARIMAX,11.13,14.738,МЛ,SARIMAX
3445,7.692,SARIMAX,9.99,10.628,МЛ,SARIMAX
3446,7.262,SARIMAX,9.36,10.782,МЛ,SARIMAX
3447,8.007,SARIMAX,13.1,13.389,МЛ,SARIMAX
3449,8.483,SARIMAX,25.19,11.21,МЛ,SARIMAX
3451,12.625,NBEATS,17.04,12.961,МЛ,NBEATS
3452,6.003,SARIMAX,12.38,11.984,МЛ,SARIMAX
3454,10.858,SARIMAX,14.75,17.502,МЛ,SARIMAX
3455,9.032,SARIMAX,12.56,13.749,МЛ,SARIMAX
3456,10.192,RandomForest,18.4,28.05,МЛ,RandomForest
3457,7.834,SARIMAX,9.84,12.582,МЛ,SARIMAX
3462,5.733,SARIMAX,9.43,14.379,МЛ,SARIMAX
3495,13.323,SARIMAX,23.27,18.403,МЛ,SARIMAX
3497,5.743,SARIMAX,10.5,10.227,МЛ,SARIMAX
3498,7.548,SARIMAX,24.1,32.995,МЛ,SARIMAX
3504,9.4,SARIMAX,22.9,21.617,МЛ,SARIMAX
3511,46.217,SARIMAX,37.84,64.381,веса,"(0.00, 0.17, 0.83)"
3540,8.664,NBEATS,10.92,13.062,МЛ,NBEATS
3543,7.144,SARIMAX,13.18,20.937,МЛ,SARIMAX
3544,6.457,NBEATS,9.95,33.083,МЛ,NBEATS
3545,7.824,NBEATS,15.04,13.933,МЛ,NBEATS
3595,6.618,SARIMAX,9.59,10.012,МЛ,SARIMAX
3596,5.555,SARIMAX,13.08,12.754,МЛ,SARIMAX
3605,19.105,SARIMAX,25.84,16.591,старая,старая
3634,9.432,SARIMAX,24.66,19.336,МЛ,SARIMAX
3645,7.183,SARIMAX,23.24,14.157,МЛ,SARIMAX
3651,4.525,SARIMAX,8.96,11.076,МЛ,SARIMAX
3654,7.668,SARIMAX,9.57,9.842,МЛ,SARIMAX
3658,7.493,SARIMAX,12.82,14.089,МЛ,SARIMAX
3659,8.486,RandomForest,9.21,10.048,МЛ,RandomForest
3660,7.052,SARIMAX,33.77,13.504,МЛ,SARIMAX
3714,8.039,SARIMAX,8.83,11.266,МЛ,SARIMAX
3715,10.417,SARIMAX,11.84,14.353,МЛ,SARIMAX
3722,5.352,HoltWinters,9.39,10.13,МЛ,HoltWinters
3725,7.996,SARIMAX,10.29,10.807,МЛ,SARIMAX
3729,4.335,SARIMAX,6.82,7.915,МЛ,SARIMAX
3730,5.039,SARIMAX,10.23,13.146,МЛ,SARIMAX
3734,4.277,SARIMAX,7.99,9.903,МЛ,SARIMAX
3739,5.179,SARIMAX,8.67,10.731,МЛ,SARIMAX
3740,14.406,SARIMAX,17.72,12.549,старая,старая
3741,18.238,SARIMAX,17.25,13.29,старая,старая
3743,7.787,RandomForest,10.87,11.226,МЛ,RandomForest
3745,4.782,SARIMAX,12.65,16.01,МЛ,SARIMAX
3748,8.626,SARIMAX,16.69,15.787,МЛ,SARIMAX
3749,5.4,SARIMAX,6.59,8.095,МЛ,SARIMAX
3755,4.056,SARIMAX,11.01,8.637,МЛ,SARIMAX
3756,5.038,HoltWinters,290.38,15.768,МЛ,HoltWinters
3759,7.891,SARIMAX,20.43,41.107,МЛ,SARIMAX
3760,4.783,SARIMAX,23.17,22.647,МЛ,SARIMAX
3763,11.017,SARIMAX,18.71,19.082,МЛ,SARIMAX
3765,6.972,SARIMAX,23.97,16.159,МЛ,SARIMAX
3767,7.841,SARIMAX,49.12,77.291,МЛ,SARIMAX
3781,7.428,SARIMAX,18.78,13.241,МЛ,SARIMAX
3797,7.126,SARIMAX,102.66,11.922,МЛ,SARIMAX
3802,6.64,RandomForest,9.84,10.533,МЛ,RandomForest
3803,93.247,SARIMAX,101.77,219.212,МЛ,SARIMAX
3804,13.548,SARIMAX,14.72,103.786,МЛ,SARIMAX
3807,7.529,SARIMAX,18.22,21.582,МЛ,SARIMAX
3808,5.472,SARIMAX,11.02,12.253,МЛ,SARIMAX
3809,6.336,SARIMAX,6.38,7.718,МЛ,SARIMAX
3811,6.178,HoltWinters,10.0,11.979,МЛ,HoltWinters
3815,6.972,SARIMAX,11.51,10.367,МЛ,SARIMAX
3817,5.618,SARIMAX,8.34,8.793,МЛ,SARIMAX
3818,5.453,SARIMAX,11.96,15.528,МЛ,SARIMAX
3819,60.249,SARIMAX,11.04,18.145,веса,"(0.05, 0.03, 0.92)"
3821,94.332,SARIMAX,87.88,168.946,веса,"(0.00, 0.81, 0.19)"
3822,11.401,TTM,13.17,13.398,МЛ,TTM
3824,93.791,SARIMAX,124.44,846.806,МЛ,SARIMAX
3827,9.334,TTM,14.12,15.232,МЛ,TTM
3831,7.839,NBEATS,17.84,14.002,МЛ,NBEATS
3832,12.906,SARIMAX,21.19,18.52,МЛ,SARIMAX
3836,5.631,SARIMAX,9.13,10.496,МЛ,SARIMAX
3839,7.011,SARIMAX,11.93,11.401,МЛ,SARIMAX
3841,8.462,SARIMAX,16.27,20.758,МЛ,SARIMAX
3842,42.365,SARIMAX,16.88,22.109,веса,"(0.29, 0.14, 0.57)"
3843,8.704,SARIMAX,14.36,16.799,МЛ,SARIMAX
3844,6.999,SARIMAX,17.08,16.279,МЛ,SARIMAX
3847,6.526,SARIMAX,12.94,12.51,МЛ,SARIMAX
3848,9.03,SARIMAX,14.59,18.26,МЛ,SARIMAX
3849,12.064,SARIMAX,18.34,18.95,МЛ,SARIMAX
3853,6.647,SARIMAX,11.37,29.069,МЛ,SARIMAX
3865,8.675,SARIMAX,26.62,34.433,МЛ,SARIMAX
3941,37.861,SARIMAX,19.92,24.288,веса,"(0.05, 0.15, 0.80)"
3954,4.3,SARIMAX,6.34,8.978,МЛ,SARIMAX
3955,7.344,NBEATS,9.52,8.221,МЛ,NBEATS
3957,16.896,SARIMAX,14.05,21.972,веса,"(0.00, 0.62, 0.38)"
3961,10.004,SARIMAX,16.59,12.708,МЛ,SARIMAX
3962,15.654,SARIMAX,23.63,19.881,МЛ,SARIMAX
3967,8.151,SARIMAX,8.77,10.973,МЛ,SARIMAX
3972,9.334,SARIMAX,13.16,9.964,МЛ,SARIMAX
3981,8.364,HoltWinters,16.43,31.305,МЛ,HoltWinters
3982,5.179,SARIMAX,8.44,8.472,МЛ,SARIMAX
3984,5.061,SARIMAX,10.46,10.042,МЛ,SARIMAX
3985,11.923,SARIMAX,18.8,17.59,МЛ,SARIMAX
3987,19.533,SARIMAX,34.27,24.742,МЛ,SARIMAX
4121,7.884,HoltWinters,13.26,25.264,МЛ,HoltWinters
4161,5.989,SARIMAX,11.71,12.359,МЛ,SARIMAX
4168,6.184,SARIMAX,10.22,10.945,МЛ,SARIMAX
4169,12.494,SARIMAX,17.53,15.26,МЛ,SARIMAX
4171,6.812,SARIMAX,10.29,12.664,МЛ,SARIMAX
4172,6.852,RandomForest,17.77,14.942,МЛ,RandomForest
4173,8.69,SARIMAX,46.72,20.594,МЛ,SARIMAX
4174,8.894,SARIMAX,123.47,24.134,МЛ,SARIMAX
4177,8.19,SARIMAX,25.98,26.01,МЛ,SARIMAX
4178,6.152,SARIMAX,16.36,15.534,МЛ,SARIMAX
4208,6.147,SARIMAX,101.33,14.814,МЛ,SARIMAX
4214,11.423,SARIMAX,15.36,10.401,старая,старая
4215,7.382,NBEATS,10.81,8.956,МЛ,NBEATS
4216,11.234,SARIMAX,17.96,11.057,старая,старая
4219,6.341,SARIMAX,12.47,17.68,МЛ,SARIMAX
4224,7.289,SARIMAX,9.72,10.667,МЛ,SARIMAX
4260,4.378,SARIMAX,193.63,13.612,МЛ,SARIMAX
4318,10.231,HoltWinters,14.34,13.819,МЛ,HoltWinters
5000,5.4,SARIMAX,19.36,15.805,МЛ,SARIMAX
5001,10.477,SARIMAX,13.41,13.805,МЛ,SARIMAX
5002,6.3,SARIMAX,10.95,10.825,МЛ,SARIMAX
5005,4.388,SARIMAX,10.11,10.463,МЛ,SARIMAX
5006,5.909,SARIMAX,10.41,8.985,МЛ,SARIMAX
5007,10.974,SARIMAX,23.79,15.34,МЛ,SARIMAX
5008,6.737,RandomForest,13.2,18.107,МЛ,RandomForest
5009,8.6,SARIMAX,22.58,13.359,МЛ,SARIMAX
5013,10.889,SARIMAX,17.96,16.513,МЛ,SARIMAX
5014,4.21,TTM,9.06,9.717,МЛ,TTM
5015,5.535,TTM,7.73,9.694,МЛ,TTM
5016,8.166,NBEATS,14.6,15.851,МЛ,NBEATS
5017,6.919,SARIMAX,10.26,10.461,МЛ,SARIMAX
5018,7.627,SARIMAX,53.1,25.579,МЛ,SARIMAX
5020,10.299,SARIMAX,17.85,22.139,МЛ,SARIMAX
5022,7.819,SARIMAX,49.27,,МЛ,SARIMAX
5023,41.138,TTM,86.86,120.47,МЛ,TTM
5024,7.425,RandomForest,31.48,11.346,МЛ,RandomForest
5025,17.711,SARIMAX,85.91,,МЛ,SARIMAX
5026,7.727,RandomForest,10.52,11.533,МЛ,RandomForest
5027,7.825,NBEATS,9.59,10.881,МЛ,NBEATS
5028,7.657,SARIMAX,61.96,29.994,МЛ,SARIMAX
5029,9.486,SARIMAX,22.36,,МЛ,SARIMAX
5030,5.824,SARIMAX,11.61,12.364,МЛ,SARIMAX
5031,11.002,SARIMAX,14.0,12.682,МЛ,SARIMAX
5033,11.657,SARIMAX,53.51,,МЛ,SARIMAX
5034,8.45,SARIMAX,12.63,12.218,МЛ,SARIMAX
5035,6.897,TTM,13.9,11.95,МЛ,TTM
5036,7.415,SARIMAX,18.79,,МЛ,SARIMAX
5037,7.74,RandomForest,14.87,9.615,МЛ,RandomForest
5038,7.316,SARIMAX,15.11,13.132,МЛ,SARIMAX
5039,9.173,SARIMAX,15.48,25.181,МЛ,SARIMAX
5040,7.921,TTM,12.43,12.076,МЛ,TTM
5041,7.597,SARIMAX,12.3,12.219,МЛ,SARIMAX
5042,7.486,SARIMAX,13.34,10.692,МЛ,SARIMAX
5043,5.582,TTM,9.32,9.44,МЛ,TTM
5044,8.841,SARIMAX,195.82,17.461,МЛ,SARIMAX
5045,5.823,HoltWinters,8.18,12.678,МЛ,HoltWinters
5047,6.337,HoltWinters,10.28,13.688,МЛ,HoltWinters
5048,11.14,TTM,46.48,,МЛ,TTM
5049,9.556,SARIMAX,17.86,,МЛ,SARIMAX
5050,8.223,SARIMAX,15.41,13.491,МЛ,SARIMAX
5052,5.308,SARIMAX,11.02,12.964,МЛ,SARIMAX
5053,6.91,SARIMAX,16.33,,МЛ,SARIMAX
5055,8.097,SARIMAX,10.25,11.881,МЛ,SARIMAX
5056,6.181,SARIMAX,10.21,11.128,МЛ,SARIMAX
5057,10.57,NBEATS,13.32,13.161,МЛ,NBEATS
5058,6.143,SARIMAX,53.23,21.944,МЛ,SARIMAX
5059,24.851,SARIMAX,164.74,210.382,МЛ,SARIMAX
5061,6.429,SARIMAX,14.13,12.805,МЛ,SARIMAX
5063,7.866,RandomForest,126.29,22.304,МЛ,RandomForest
5065,6.888,SARIMAX,14.23,15.688,МЛ,SARIMAX
5067,93.286,SARIMAX,33.19,,веса,"(0.00, 0.07, 0.93)"
5068,8.236,SARIMAX,16.65,16.689,МЛ,SARIMAX
5069,74.69,SARIMAX,24.36,25.551,веса,"(0.05, 0.24, 0.71)"
5070,6.726,TTM,12.81,12.613,МЛ,TTM
5071,10.391,RandomForest,21.53,20.967,МЛ,RandomForest
5072,93.299,SARIMAX,568.64,1215.543,МЛ,SARIMAX
5073,6.351,TTM,10.97,13.931,МЛ,TTM
5075,18.163,SARIMAX,96.36,65.368,МЛ,SARIMAX
5076,9.615,SARIMAX,14.13,13.404,МЛ,SARIMAX
5078,12.144,SARIMAX,16.71,17.003,МЛ,SARIMAX
5079,9.987,SARIMAX,14.84,13.823,МЛ,SARIMAX
5081,11.85,TTM,12.48,13.879,МЛ,TTM
5082,13.192,SARIMAX,17.32,17.889,МЛ,SARIMAX
5085,7.173,SARIMAX,11.57,15.151,МЛ,SARIMAX
5087,8.499,RandomForest,185.72,10.814,МЛ,RandomForest
5088,7.435,SARIMAX,9.93,9.963,МЛ,SARIMAX
5089,7.432,TTM,13.62,12.763,МЛ,TTM
5091,6.869,SARIMAX,12.08,13.448,МЛ,SARIMAX
5093,7.473,SARIMAX,10.87,13.712,МЛ,SARIMAX
5094,8.18,SARIMAX,9.77,12.063,МЛ,SARIMAX
5097,5.237,SARIMAX,12.72,11.036,МЛ,SARIMAX
5099,4.753,SARIMAX,9.03,15.665,МЛ,SARIMAX
5100,6.428,TTM,13.12,,МЛ,TTM
5102,6.48,SARIMAX,9.99,17.265,МЛ,SARIMAX
5104,8.638,SARIMAX,14.79,15.12,МЛ,SARIMAX
5224,8.993,TTM,19.3,22.018,МЛ,TTM
5226,7.637,NBEATS,13.43,13.052,МЛ,NBEATS
5972,6.56,SARIMAX,10.76,8.95,МЛ,SARIMAX
5974,7.759,HoltWinters,10.4,9.2,МЛ,HoltWinters
6394,17.074,SARIMAX,22.44,20.289,МЛ,SARIMAX
6398,9.798,SARIMAX,42.39,,МЛ,SARIMAX
6399,4.894,SARIMAX,10.37,,МЛ,SARIMAX
6400,7.246,SARIMAX,13.41,8.262,МЛ,SARIMAX
6405,4.107,SARIMAX,7.5,9.304,МЛ,SARIMAX
6406,3.743,SARIMAX,12.08,10.948,МЛ,SARIMAX
6416,7.094,RandomForest,14.36,9.609,МЛ,RandomForest
6417,8.207,SARIMAX,9.06,10.539,МЛ,SARIMAX
6418,6.588,SARIMAX,1113.69,1493.399,МЛ,SARIMAX
6419,6.694,HoltWinters,10.15,15.842,МЛ,HoltWinters
6420,9.514,TTM,15.59,14.558,МЛ,TTM
6421,10.504,RandomForest,16.93,14.279,МЛ,RandomForest
6422,10.319,SARIMAX,13.58,13.618,МЛ,SARIMAX
6423,5.569,SARIMAX,12.06,11.514,МЛ,SARIMAX
6424,7.419,SARIMAX,29.93,22.002,МЛ,SARIMAX
6425,13.392,SARIMAX,21.78,22.488,МЛ,SARIMAX
6426,8.373,SARIMAX,11.46,14.513,МЛ,SARIMAX
6428,8.617,SARIMAX,15.75,12.648,МЛ,SARIMAX
6429,5.083,SARIMAX,10.68,12.218,МЛ,SARIMAX
6430,5.729,SARIMAX,8.09,7.839,МЛ,SARIMAX
6431,6.153,SARIMAX,10.96,12.836,МЛ,SARIMAX
6433,27.474,SARIMAX,239.25,299.326,МЛ,SARIMAX
6435,7.347,SARIMAX,19.75,17.292,МЛ,SARIMAX
6438,9.038,SARIMAX,21.34,21.639,МЛ,SARIMAX
6439,10.647,TTM,19.64,,МЛ,TTM
6443,15.113,SARIMAX,16.77,19.83,МЛ,SARIMAX
6444,8.343,SARIMAX,18.54,,МЛ,SARIMAX
6446,7.355,SARIMAX,10.55,11.774,МЛ,SARIMAX
6448,13.082,SARIMAX,17.99,17.555,МЛ,SARIMAX
6450,7.663,SARIMAX,87.13,39.969,МЛ,SARIMAX
6452,4.85,SARIMAX,10.48,10.815,МЛ,SARIMAX
6458,93.659,SARIMAX,76.38,86.259,веса,"(0.00, 0.08, 0.92)"
6465,6.446,SARIMAX,12.47,12.589,МЛ,SARIMAX
6467,7.429,SARIMAX,11.1,11.255,МЛ,SARIMAX
6479,10.139,SARIMAX,11.65,8.992,старая,старая
6480,7.245,RandomForest,10.9,13.071,МЛ,RandomForest
6481,10.76,SARIMAX,16.87,18.71,МЛ,SARIMAX
6482,10.955,SARIMAX,17.3,15.707,МЛ,SARIMAX
6986,6.591,SARIMAX,7.22,8.505,МЛ,SARIMAX
7061,9.824,SARIMAX,82.5,31.841,МЛ,SARIMAX
7064,15.728,SARIMAX,24.63,17.289,МЛ,SARIMAX
7066,5.241,SARIMAX,595.07,1417.875,МЛ,SARIMAX
7067,20.69,SARIMAX,21.94,14.131,старая,старая
7073,4.436,SARIMAX,83.12,27.308,МЛ,SARIMAX
7079,4.606,SARIMAX,8.37,10.916,МЛ,SARIMAX
7126,5.008,SARIMAX,11.68,16.747,МЛ,SARIMAX
7131,4.205,SARIMAX,7.96,7.876,МЛ,SARIMAX
7141,5.92,SARIMAX,18.7,13.059,МЛ,SARIMAX
7144,9.735,SARIMAX,690.03,24.913,МЛ,SARIMAX
7146,6.082,SARIMAX,12.91,13.275,МЛ,SARIMAX
7147,6.799,SARIMAX,960.16,22.151,МЛ,SARIMAX
7172,6.348,SARIMAX,50.99,41.093,МЛ,SARIMAX
7192,6.351,SARIMAX,16.75,10.875,МЛ,SARIMAX
7279,3.98,SARIMAX,8.26,8.343,МЛ,SARIMAX
7283,7.619,TTM,13.81,10.36,МЛ,TTM
7286,6.504,SARIMAX,14.74,14.273,МЛ,SARIMAX
7287,7.496,SARIMAX,34.13,24.917,МЛ,SARIMAX
7314,7.639,RandomForest,15.18,13.372,МЛ,RandomForest
7315,8.656,NBEATS,11.81,20.032,МЛ,NBEATS
7323,7.034,SARIMAX,13.9,11.171,МЛ,SARIMAX
7324,7.218,SARIMAX,10.95,10.129,МЛ,SARIMAX
7330,4.004,RandomForest,7.56,8.319,МЛ,RandomForest
7339,7.187,SARIMAX,13.58,14.828,МЛ,SARIMAX
7426,6.472,SARIMAX,11.11,12.626,МЛ,SARIMAX
7439,9.631,SARIMAX,20.41,22.541,МЛ,SARIMAX
7608,8.035,SARIMAX,16.58,21.705,МЛ,SARIMAX
7609,6.612,SARIMAX,11.89,10.82,МЛ,SARIMAX
8079,6.977,SARIMAX,9.23,10.371,МЛ,SARIMAX
8159,7.93,SARIMAX,14.64,17.451,МЛ,SARIMAX
8160,6.507,SARIMAX,11.36,12.497,МЛ,SARIMAX
8174,8.707,TTM,11.49,11.253,МЛ,TTM
8181,7.744,SARIMAX,15.72,19.293,МЛ,SARIMAX
8214,8.693,SARIMAX,28.4,11.35,МЛ,SARIMAX
8308,8.174,RandomForest,20.42,30.934,МЛ,RandomForest
8654,9.529,SARIMAX,28.9,31.83,МЛ,SARIMAX
8662,7.359,SARIMAX,10.12,10.368,МЛ,SARIMAX
8663,8.484,SARIMAX,14.0,15.339,МЛ,SARIMAX
8664,7.145,TTM,11.57,12.57,МЛ,TTM
8697,8.401,NBEATS,32.97,14.459,МЛ,NBEATS
8698,9.777,SARIMAX,10.97,13.872,МЛ,SARIMAX
8714,7.642,SARIMAX,15.79,8.524,МЛ,SARIMAX
8727,6.76,SARIMAX,11.48,11.264,МЛ,SARIMAX
8729,9.649,SARIMAX,16.87,15.097,МЛ,SARIMAX
8731,18.201,SARIMAX,28.77,36.355,МЛ,SARIMAX
8734,20.422,SARIMAX,28.05,16.632,старая,старая
8738,8.064,SARIMAX,22.54,21.528,МЛ,SARIMAX
8740,6.253,TTM,33.26,52.573,МЛ,TTM
8741,11.64,SARIMAX,42.29,46.715,МЛ,SARIMAX
8742,7.049,SARIMAX,15.09,17.221,МЛ,SARIMAX
8747,9.643,SARIMAX,17.38,14.269,МЛ,SARIMAX
8750,6.801,SARIMAX,116.02,13.198,МЛ,SARIMAX
8754,5.028,SARIMAX,36.7,17.002,МЛ,SARIMAX
8774,3.806,SARIMAX,8.6,9.567,МЛ,SARIMAX
8782,5.983,SARIMAX,13.95,14.157,МЛ,SARIMAX
8787,9.171,SARIMAX,274.89,27.401,МЛ,SARIMAX
8788,8.516,TTM,13.71,8.879,МЛ,TTM
8794,5.947,SARIMAX,12.64,12.044,МЛ,SARIMAX
8796,5.054,SARIMAX,12.28,12.981,МЛ,SARIMAX
8874,9.756,SARIMAX,24.54,27.349,МЛ,SARIMAX
8899,6.549,SARIMAX,8.9,8.788,МЛ,SARIMAX
8901,11.165,HoltWinters,44.67,13.686,МЛ,HoltWinters
8903,7.047,NBEATS,11.63,11.977,МЛ,NBEATS
8907,48.623,SARIMAX,13.86,19.246,веса,"(0.12, 0.17, 0.71)"
8911,5.827,SARIMAX,9.59,13.482,МЛ,SARIMAX
8912,4.947,RandomForest,7.61,9.017,МЛ,RandomForest
8932,7.704,NBEATS,8.5,10.47,МЛ,NBEATS
8933,6.278,SARIMAX,24.88,22.303,МЛ,SARIMAX
8934,7.034,SARIMAX,10.84,10.016,МЛ,SARIMAX
8935,8.819,NBEATS,12.02,12.13,МЛ,NBEATS
8958,7.969,SARIMAX,53.28,28.634,МЛ,SARIMAX
8996,6.279,SARIMAX,9.21,15.452,МЛ,SARIMAX
9040,7.734,SARIMAX,13.69,14.538,МЛ,SARIMAX
9041,7.739,SARIMAX,14.91,11.462,МЛ,SARIMAX
9049,10.294,SARIMAX,22.89,12.963,МЛ,SARIMAX
9075,9.137,SARIMAX,19.64,31.904,МЛ,SARIMAX
9085,6.029,SARIMAX,10.55,8.512,МЛ,SARIMAX
9086,6.164,SARIMAX,10.96,11.473,МЛ,SARIMAX
9207,4.798,SARIMAX,9.67,8.595,МЛ,SARIMAX
9222,4.782,RandomForest,8.74,8.69,МЛ,RandomForest
9241,94.245,SARIMAX,121.52,282.808,МЛ,SARIMAX
9244,94.61,SARIMAX,236.88,1083.913,МЛ,SARIMAX
9245,6.34,SARIMAX,9.71,12.487,МЛ,SARIMAX
9304,10.675,SARIMAX,23.14,23.548,МЛ,SARIMAX
9309,13.806,RandomForest,11.1,14.043,веса,"(0.07, 0.14, 0.79)"
9310,10.663,SARIMAX,10.84,32.529,МЛ,SARIMAX
9311,6.181,SARIMAX,8.58,9.987,МЛ,SARIMAX
9312,6.796,TTM,9.23,9.352,МЛ,TTM
9313,6.396,SARIMAX,10.36,10.904,МЛ,SARIMAX
9314,6.876,HoltWinters,834.06,31.82,МЛ,HoltWinters
9315,6.448,SARIMAX,10.01,8.933,МЛ,SARIMAX
9316,7.988,SARIMAX,11.7,13.094,МЛ,SARIMAX
9317,4.638,SARIMAX,8.61,9.579,МЛ,SARIMAX
9318,6.012,HoltWinters,10.09,10.451,МЛ,HoltWinters
9319,9.049,SARIMAX,10.73,11.854,МЛ,SARIMAX
9320,5.208,SARIMAX,7.56,9.134,МЛ,SARIMAX
9321,6.032,RandomForest,8.63,10.881,МЛ,RandomForest
9325,9.609,NBEATS,20.23,13.349,МЛ,NBEATS
9333,5.579,SARIMAX,8.13,8.703,МЛ,SARIMAX
9334,7.581,SARIMAX,58.78,28.964,МЛ,SARIMAX
9335,7.956,SARIMAX,9.31,12.223,МЛ,SARIMAX
9337,6.895,SARIMAX,17.32,16.576,МЛ,SARIMAX
9338,8.436,HoltWinters,35.37,12.002,МЛ,HoltWinters
9339,87.9,SARIMAX,1321.38,2173.38,МЛ,SARIMAX
9340,5.578,SARIMAX,9.38,7.983,МЛ,SARIMAX
9342,8.103,SARIMAX,11.6,14.228,МЛ,SARIMAX
9346,5.31,SARIMAX,10.52,8.079,МЛ,SARIMAX
9353,6.142,RandomForest,8.86,12.531,МЛ,RandomForest
9354,7.171,RandomForest,11.76,10.287,МЛ,RandomForest
9378,5.408,SARIMAX,10.7,10.308,МЛ,SARIMAX
9379,5.397,SARIMAX,12.43,13.142,МЛ,SARIMAX
9385,10.657,SARIMAX,48.67,28.665,МЛ,SARIMAX
9404,6.058,SARIMAX,11.21,9.867,МЛ,SARIMAX
9424,6.073,SARIMAX,9.05,10.152,МЛ,SARIMAX
9426,8.172,SARIMAX,13.3,12.441,МЛ,SARIMAX
9430,7.938,SARIMAX,16.09,14.325,МЛ,SARIMAX
9431,6.029,SARIMAX,8.64,9.303,МЛ,SARIMAX
9465,6.866,SARIMAX,69.86,14.136,МЛ,SARIMAX
9509,7.454,SARIMAX,9.77,11.048,МЛ,SARIMAX
9511,7.327,SARIMAX,9.78,17.739,МЛ,SARIMAX
9516,4.784,SARIMAX,9.57,10.821,МЛ,SARIMAX
9521,6.321,SARIMAX,16.31,11.768,МЛ,SARIMAX
9719,5.267,SARIMAX,7.44,9.349,МЛ,SARIMAX
9720,5.817,SARIMAX,7.67,9.417,МЛ,SARIMAX
9724,8.589,NBEATS,18.54,13.555,МЛ,NBEATS
9745,7.126,SARIMAX,8.84,12.262,МЛ,SARIMAX
9746,6.861,SARIMAX,16.7,15.602,МЛ,SARIMAX
9748,5.664,SARIMAX,10.21,10.861,МЛ,SARIMAX
9753,8.554,RandomForest,12.12,11.543,МЛ,RandomForest
9755,5.488,SARIMAX,8.66,8.778,МЛ,SARIMAX
9811,6.664,SARIMAX,10.82,9.839,МЛ,SARIMAX
9812,7.886,RandomForest,11.77,11.132,МЛ,RandomForest
31401,12.088,RandomForest,19.06,17.58,МЛ,RandomForest
35001,7.899,SARIMAX,13.35,13.221,МЛ,SARIMAX
35401,7.611,SARIMAX,15.1,10.002,МЛ,SARIMAX
35403,8.054,SARIMAX,16.34,11.934,МЛ,SARIMAX
35804,7.812,SARIMAX,11.06,10.628,МЛ,SARIMAX
36001,6.664,SARIMAX,13.17,15.643,МЛ,SARIMAX
36002,12.858,SARIMAX,22.48,22.529,МЛ,SARIMAX
36004,7.818,SARIMAX,9.81,12.668,МЛ,SARIMAX
37401,14.696,SARIMAX,37.53,,МЛ,SARIMAX
39201,9.687,SARIMAX,16.74,15.481,МЛ,SARIMAX
39202,9.277,SARIMAX,84.96,33.77,МЛ,SARIMAX
39206,5.674,HoltWinters,10.02,11.779,МЛ,HoltWinters
39207,10.225,SARIMAX,19.54,13.269,МЛ,SARIMAX
39208,6.783,SARIMAX,9.34,11.048,МЛ,SARIMAX
39402,7.367,SARIMAX,9.08,11.879,МЛ,SARIMAX
39601,5.386,SARIMAX,9.62,11.559,МЛ,SARIMAX
39602,6.457,SARIMAX,16.17,22.243,МЛ,SARIMAX
39605,6.628,SARIMAX,12.25,9.134,МЛ,SARIMAX
39606,10.127,RandomForest,45.95,80.726,МЛ,RandomForest
42601,10.058,SARIMAX,17.72,16.093,МЛ,SARIMAX
44001,5.121,SARIMAX,9.04,20.228,МЛ,SARIMAX
44002,4.823,SARIMAX,9.15,10.98,МЛ,SARIMAX
45204,9.625,SARIMAX,21.23,16.212,МЛ,SARIMAX
47401,8.421,SARIMAX,11.86,13.702,МЛ,SARIMAX
49212,5.445,SARIMAX,10.43,13.201,МЛ,SARIMAX
50601,4.804,SARIMAX,8.82,8.066,МЛ,SARIMAX
51601,7.763,SARIMAX,10.48,12.811,МЛ,SARIMAX
54402,9.79,HoltWinters,13.03,13.312,МЛ,HoltWinters
54403,5.223,SARIMAX,9.85,10.366,МЛ,SARIMAX
