АЗС,Лучшая модель,MAPE,error
3374,HoltWinters,81.993,
163208,HoltWinters,84.077,
125622,HoltWinters,87.329,
133799,HoltWinters,88.182,
134049,HoltWinters,108.354,
3511,HoltWinters,133.745,
133287,HoltWinters,139.441,
2669,HoltWinters,142.455,
134006,HoltWinters,148.975,
133740,HoltWinters,161.814,
133387,HoltWinters,173.253,
160016,HoltWinters,198.29,
1856,HoltWinters,226.098,
134160,HoltWinters,256.357,
133363,HoltWinters,315.15,
135802,HoltWinters,607.033,
160041,HoltWinters,624.925,
160059,HoltWinters,637.961,
133485,HoltWinters,684.331,
133549,HoltWinters,1030.303,
2306,HoltWinters,1122.322,
2167,HoltWinters,1305.943,
160067,HoltWinters,1997.621,
125628,HoltWinters,2799.067,
133426,HoltWinters,2986.286,
160033,HoltWinters,3045.757,
9530,HoltWinters,3716.666,
5099,RandomForest,3.605,
133674,RandomForest,3.78,
160008,RandomForest,3.968,
133719,RandomForest,4.237,
1060,RandomForest,4.288,
7073,RandomForest,4.435,
5972,RandomForest,4.457,
3729,RandomForest,4.466,
1907,RandomForest,4.491,
3143,RandomForest,4.507,
2613,RandomForest,4.577,
9317,RandomForest,4.61,
155048,RandomForest,4.637,
5045,RandomForest,4.693,
1279,RandomForest,4.703,
163002,RandomForest,4.743,
1106,RandomForest,4.744,
152001,RandomForest,4.751,
1064,RandomForest,4.814,
133577,RandomForest,4.843,
133608,RandomForest,4.871,
3368,RandomForest,4.89,
8774,RandomForest,4.894,
1921,RandomForest,4.896,
163001,RandomForest,4.903,
3750,RandomForest,4.907,
3008,RandomForest,4.924,
54403,RandomForest,4.942,
133685,RandomForest,4.96,
3388,RandomForest,4.98,
69201,RandomForest,5.017,
3797,RandomForest,5.028,
1969,RandomForest,5.075,
57403,RandomForest,5.078,
133689,RandomForest,5.115,
44002,RandomForest,5.121,
133789,RandomForest,5.134,
3006,RandomForest,5.135,
133557,RandomForest,5.154,
66202,RandomForest,5.169,
133250,RandomForest,5.173,
104801,RandomForest,5.215,
6452,RandomForest,5.216,
133638,RandomForest,5.227,
5072,RandomForest,5.296,
3438,RandomForest,5.301,
155049,RandomForest,5.32,
135037,RandomForest,5.333,
3338,RandomForest,5.343,
133298,RandomForest,5.347,
133698,RandomForest,5.359,
133652,RandomForest,5.396,
3339,RandomForest,5.414,
3756,RandomForest,5.417,
7323,RandomForest,5.438,
133295,RandomForest,5.448,
5088,RandomForest,5.458,
9318,RandomForest,5.463,
3982,RandomForest,5.465,
2715,RandomForest,5.504,
8911,RandomForest,5.52,
133647,RandomForest,5.567,
3347,RandomForest,5.596,
133659,RandomForest,5.596,
133527,RandomForest,5.597,
35804,RandomForest,5.617,
133318,RandomForest,5.619,
134141,RandomForest,5.62,
155058,RandomForest,5.623,
9335,RandomForest,5.626,
2886,RandomForest,5.64,
3815,RandomForest,5.67,
2605,RandomForest,5.672,
133273,RandomForest,5.677,
9244,RandomForest,5.692,
3733,RandomForest,5.694,
8788,RandomForest,5.698,
69401,RandomForest,5.702,
9241,RandomForest,5.726,
66209,RandomForest,5.733,
9311,RandomForest,5.744,
129401,RandomForest,5.752,
133702,RandomForest,5.778,
2789,RandomForest,5.786,
2612,RandomForest,5.787,
9720,RandomForest,5.788,
39605,RandomForest,5.819,
157601,RandomForest,5.82,
133321,RandomForest,5.834,
125610,RandomForest,5.867,
155025,RandomForest,5.872,
159004,RandomForest,5.873,
1814,RandomForest,5.885,
134036,RandomForest,5.888,
1110,RandomForest,5.901,
136808,RandomForest,5.909,
107801,RandomForest,5.936,
133561,RandomForest,5.94,
160045,RandomForest,5.94,
5058,RandomForest,5.942,
1809,RandomForest,5.946,
1794,RandomForest,5.95,
133357,RandomForest,5.952,
4260,RandomForest,5.955,
133666,RandomForest,5.967,
1119,RandomForest,5.969,
133480,RandomForest,6.011,
